Entity,Year,Wind_Elec_TWh,Hydro_Elec_TWh,Solar_Elec_TWh,Other_Renew_Elec_TWh,Other_Renew_Gen_TWh,Solar_Gen_TWh,Wind_Gen_TWh,Hydro_Gen_TWh,Renew_Elec_Pct,Renew_Energy_Pct,Hydro_Energy_Pct,Solar_Energy_Pct,Wind_Energy_Pct,Hydro_Elec_Pct,Solar_Elec_Pct,Wind_Elec_Pct,Prim_Energy_Cons_TWh,Prim_Energy_Cons_Capita,Annual_Change_Cons_Pct,Elec_Gen_TWh,Elec_Capita_kWh,GDP
Canada,1985,0.001,3.04E+02,0,1.677,1.677,0,0.001,303.645,0,31.612,31.424,0,0,66.151,0,0,2857.275,110558.88,3.294,459.016,17761.098,366
Canada,1986,0.001,3.11E+02,0,1.865,1.865,0,0.001,310.635,0,32.046,31.839,0,0,66.292,0,0,2884.924,110465.45,0.968,468.584,17942.36,379
Canada,1987,0.001,3.16E+02,0,2.312,2.312,0,0.001,316.206,0,31.65,31.402,0,0.00E+00,63.7,0,0,2977.613,112631.016,3.213,496.398,18776.709,433
Canada,1988,0.001,3.07E+02,0,2.485,2.485,0,0.001,307.435,0,29.611,29.355,0,0.00E+00,60.756,0,0,3096.846,115489.02,4.004,506.016,18870.576,509
Canada,1989,0.001,2.90E+02,0,3.477,3.477,0,0.001,290.45,0,27.817,27.462,0,0.00E+00,58.312,0,0,3127.392,114790.24,0.986,498.093,18282.379,567
Canada,1990,0.002,2.96E+02,0,3.954,3.954,0,0.002,295.683,62.348,29.481,29.061,0,0,61.525,0,0,3008.582,108781.125,-3.799,480.593,17376.781,596
Canada,1991,0.002,3.07E+02,0,3.984,3.984,0,0.002,307.276,61.394,30.499,30.078,0,0,60.607,0,0,3020.828,107826,0.407,506.995,18096.773,613
Canada,1992,0.059,3.15E+02,0.002,4.465,4.465,0.002,0.059,315.175,61.644,30.512,30.047,0,0.006,60.771,0,0.011,3101.725,109417.39,2.678,518.627,18295.236,594
Canada,1993,0.059,3.22E+02,0.002,4.817,4.817,0.002,0.059,322.214,61.688,30.451,29.962,0,0.005,60.768,0,0.011,3180.007,110924.66,2.524,530.232,18495.502,579
Canada,1994,0.059,3.28E+02,0.002,5.733,5.733,0.002,0.059,327.856,60.328,29.927,29.367,0,0.005,59.281,0,0.011,3301.156,113906.836,3.81,553.055,19083.236,580
