Wind_Elec_TWh,Hydro_Elec_TWh,Solar_Elec_TWh,Other_Renew_Elec_TWh,Other_Renew_Gen_TWh,Solar_Gen_TWh,Wind_Gen_TWh,Hydro_Gen_TWh,Renew_Elec_Pct,Renew_Energy_Pct,Hydro_Energy_Pct,Solar_Energy_Pct,Wind_Energy_Pct,Hydro_Elec_Pct,Solar_Elec_Pct,Wind_Elec_Pct,Prim_Energy_Cons_TWh,Prim_Energy_Cons_Capita,Annual_Change_Cons_Pct,Elec_Gen_TWh,Elec_Capita_kWh,GDP
0,204.69,0,3.403,3.403,0,0,204.69,0,44.167,38.398,0,0,92.311,0,0,1576.284,10650.324,2.833,221.739,1498.202,426
0,206.708,0,3.859,3.859,0,0,206.708,94.501,44.531,39.032,0,0,92.769,0,0,1565.992,10391.007,-0.653,222.82,1478.504,385
0,217.782,0,4,4,0,0,217.782,94.626,45.269,39.836,0,0,92.92,0,0,1616.594,10542.793,3.231,234.376,1528.51,343
0,223.343,0,4.929,4.929,0,0,223.343,94.42,45.736,40.287,0,0,92.381,0,0,1639.306,10515.058,1.405,241.762,1550.742,328
0,235.065,0,4.984,4.984,0,0,235.065,95.256,45.985,40.525,0,0,93.279,0,0,1715.203,10825.511,4.63,252.003,1590.518,368
0,242.705,0,5.388,5.388,0,0,242.705,95.406,45.496,39.896,0,0,93.334,0,0,1798.857,11174.377,4.877,260.041,1615.355,525
0,253.905,0,5.594,5.594,0,0,253.905,94.157,44.733,39.251,0,0,92.128,0,0,1912.793,11697.941,6.334,275.601,1685.478,769
0.002,265.736,0,6.753,6.753,0,0.002,265.736,93.56,44.3,38.797,0,0,91.241,0,0.001,2025.349,12198.168,5.884,291.246,1754.099,850
0.004,278.973,0,7.379,7.379,0,0.004,278.973,92.978,43.421,38.31,0,0.001,90.581,0,0.001,2153.253,12775.408,6.315,307.981,1827.273,883
0.005,291.469,0,7.505,7.505,0,0.005,291.469,92.923,43.594,38.664,0,0.001,90.589,0,0.002,2229.139,13032.864,3.524,321.749,1881.133,864
0.002,293,0,8.376,8.376,0,0.002,293,90.037,43.436,38.428,0,0,87.534,0,0.001,2254.618,12995.942,1.143,334.726,1929.41,600
0,304.4,0,7.855,7.855,0,0.001,304.403,89.491,42.443,38.193,0,0,87.238,0,0,2356.764,13400.32,4.531,348.93,1983.98,655
0.03,267.88,0,9.022,9.022,0,0.035,267.876,84.289,38.569,34.248,0,0.004,81.534,0,0.009,2297.834,12893.828,-2.5,328.55,1843.592,560
0.06,286.09,0,10.27,10.27,0,0.061,286.092,85.74,40.181,35.532,0,0.008,82.752,0,0.017,2350.13,13021.791,2.276,345.72,1915.594,510
0.06,305.62,0,11.939,11.939,0,0.061,305.616,87.165,41.649,37.013,0,0.007,83.872,0,0.016,2394.621,13111.923,1.893,364.39,1995.244,558
0.06,320.8,0,12.515,12.515,0,0.061,320.797,86.036,41.636,36.814,0,0.007,82.789,0,0.015,2511.056,13593.7,4.862,387.49,2097.692,669
0.09,337.46,0,13.643,13.643,0,0.093,337.457,87.129,42.512,37.505,0,0.01,83.722,0,0.022,2576.396,13792.465,2.602,403.07,2157.793,892
0.24,348.8,0,14.846,14.846,0,0.237,348.805,86.754,42.398,37.489,0,0.025,83.157,0,0.057,2647.395,14020.683,2.756,419.45,2221.42,1110
0.66,374.02,0,18.063,18.063,0,0.663,374.015,88.226,43.479,37.531,0,0.067,84.021,0,0.148,2817.879,14770.351,6.44,445.15,2333.323,1400
1.18,369.56,0,19.786,19.786,0,1.183,369.556,84.315,42.632,35.331,0,0.113,79.788,0,0.255,2939.233,15255.087,4.307,463.18,2403.978,1700
