Country,Variable,P_Value,Significant_0.05,Significant_0.01,Significant_0.001
India,Wind_Elec_TWh,3.7021612239958564e-29,TRUE,TRUE,TRUE
India,Hydro_Elec_TWh,8.904335092018283e-20,TRUE,TRUE,TRUE
India,Solar_Elec_TWh,8.827711378447208e-10,TRUE,TRUE,TRUE
India,Other_Renew_Elec_TWh,2.2692920804706457e-30,TRUE,TRUE,TRUE
India,Other_Renew_Gen_TWh,2.2692920804706457e-30,TRUE,TRUE,TRUE
India,Solar_Gen_TWh,8.82972542897233e-10,TRUE,TRUE,TRUE
India,Wind_Gen_TWh,3.705111108929265e-29,TRUE,TRUE,TRUE
India,Hydro_Gen_TWh,8.935421967455588e-20,TRUE,TRUE,TRUE
India,Renew_Elec_Pct,0.31071522189601347,FALSE,FALSE,FALSE
India,Renew_Energy_Pct,0.05633492433010381,FALSE,FALSE,FALSE
India,Hydro_Energy_Pct,1.3585028997980788e-10,TRUE,TRUE,TRUE
India,Solar_Energy_Pct,1.1249424864971745e-10,TRUE,TRUE,TRUE
India,Wind_Energy_Pct,1.792215654859519e-36,TRUE,TRUE,TRUE
India,Hydro_Elec_Pct,1.0300699323291187e-8,TRUE,TRUE,TRUE
India,Solar_Elec_Pct,7.165240889430959e-11,TRUE,TRUE,TRUE
India,Wind_Elec_Pct,2.939020287042866e-33,TRUE,TRUE,TRUE
India,Prim_Energy_Cons_TWh,5.1369470759883614e-30,TRUE,TRUE,TRUE
India,Annual_Change_Cons_Pct,0.307629006155277,FALSE,FALSE,FALSE
India,Elec_Gen_TWh,1.2851635824743782e-31,TRUE,TRUE,TRUE
India,Elec_Capita_kWh,3.341674355096659e-28,TRUE,TRUE,TRUE
China,Wind_Elec_TWh,4.895099476642164e-16,TRUE,TRUE,TRUE
China,Hydro_Elec_TWh,2.196488188963016e-27,TRUE,TRUE,TRUE
China,Solar_Elec_TWh,2.0610517965345e-10,TRUE,TRUE,TRUE
China,Other_Renew_Elec_TWh,5.45761733296437e-19,TRUE,TRUE,TRUE
China,Other_Renew_Gen_TWh,5.45761733296437e-19,TRUE,TRUE,TRUE
China,Solar_Gen_TWh,2.058257178271751e-10,TRUE,TRUE,TRUE
China,Wind_Gen_TWh,4.892575745927045e-16,TRUE,TRUE,TRUE
China,Hydro_Gen_TWh,4.60126186877398e-27,TRUE,TRUE,TRUE
China,Renew_Elec_Pct,1.7841582334973447e-11,TRUE,TRUE,TRUE
China,Renew_Energy_Pct,1.0046707996415601e-29,TRUE,TRUE,TRUE
China,Hydro_Energy_Pct,1.24675396766307e-12,TRUE,TRUE,TRUE
China,Solar_Energy_Pct,1.1338546631166266e-11,TRUE,TRUE,TRUE
China,Wind_Energy_Pct,2.874926843411261e-20,TRUE,TRUE,TRUE
China,Hydro_Elec_Pct,0.004790231657335061,TRUE,TRUE,FALSE
China,Solar_Elec_Pct,4.032539865150922e-12,TRUE,TRUE,TRUE
China,Wind_Elec_Pct,8.669833964903131e-23,TRUE,TRUE,TRUE
China,Prim_Energy_Cons_TWh,6.383601224035425e-23,TRUE,TRUE,TRUE
China,Annual_Change_Cons_Pct,0.0912256107336233,FALSE,FALSE,FALSE
China,Elec_Gen_TWh,3.032125786089515e-34,TRUE,TRUE,TRUE
China,Elec_Capita_kWh,3.6006528210006546e-32,TRUE,TRUE,TRUE
USA,Wind_Elec_TWh,2.884903765068304e-17,TRUE,TRUE,TRUE
USA,Hydro_Elec_TWh,0.07754998236467922,FALSE,FALSE,FALSE
USA,Solar_Elec_TWh,4.283053149632727e-10,TRUE,TRUE,TRUE
USA,Other_Renew_Elec_TWh,8.471605105042691e-7,TRUE,TRUE,TRUE
USA,Other_Renew_Gen_TWh,1.9323063532020867e-7,TRUE,TRUE,TRUE
USA,Solar_Gen_TWh,2.362850102142263e-10,TRUE,TRUE,TRUE
USA,Wind_Gen_TWh,2.874764110991416e-17,TRUE,TRUE,TRUE
USA,Hydro_Gen_TWh,0.11536402181540517,FALSE,FALSE,FALSE
USA,Renew_Elec_Pct,5.437908660418259e-9,TRUE,TRUE,TRUE
USA,Renew_Energy_Pct,3.7856427092473376e-14,TRUE,TRUE,TRUE
USA,Hydro_Energy_Pct,6.597558258628357e-8,TRUE,TRUE,TRUE
USA,Solar_Energy_Pct,1.8181572788174739e-10,TRUE,TRUE,TRUE
USA,Wind_Energy_Pct,1.7440232727033935e-17,TRUE,TRUE,TRUE
USA,Hydro_Elec_Pct,4.464783580819323e-8,TRUE,TRUE,TRUE
USA,Solar_Elec_Pct,3.41952586672949e-10,TRUE,TRUE,TRUE
USA,Wind_Elec_Pct,2.3147238340445067e-17,TRUE,TRUE,TRUE
USA,Prim_Energy_Cons_TWh,2.8857170392608424e-6,TRUE,TRUE,TRUE
USA,Annual_Change_Cons_Pct,0.15152390656664502,FALSE,FALSE,FALSE
USA,Elec_Gen_TWh,3.354094493742758e-11,TRUE,TRUE,TRUE
USA,Elec_Capita_kWh,0.5562513918752519,FALSE,FALSE,FALSE
