Entity,Code,Year,Wind energy capacity - GW
Afghanistan,AFG,2012,0.000100000005
Afghanistan,AFG,2013,0.000100000005
Afghanistan,AFG,2014,0.000100000005
Afghanistan,AFG,2015,0.000100000005
Afghanistan,AFG,2016,0.000100000005
Afghanistan,AFG,2017,0.00040000002
Afghanistan,AFG,2018,0.00040000002
Afghanistan,AFG,2019,0.00040000002
Afghanistan,AFG,2020,0.00040000002
Afghanistan,AFG,2021,0.00040000002
Afghanistan,AFG,2022,0.00040000002
Africa,,2000,0.13905
Africa,,2001,0.13905
Africa,,2002,0.14431
Africa,,2003,0.15379001
Africa,,2004,0.23611002
Africa,,2005,0.24018
Africa,,2006,0.32790503
Africa,,2007,0.47010002
Africa,,2008,0.5553
Africa,,2009,0.74240005
Africa,,2010,0.864777
Africa,,2011,0.99498206
Africa,,2012,1.127594
Africa,,2013,1.741834
Africa,,2014,2.399398
Africa,,2015,3.3202682
Africa,,2016,3.8313942
Africa,,2017,4.578263
Africa,,2018,5.471553
Africa,,2019,5.5287533
Africa,,2020,6.5146537
Africa,,2021,7.370154
Africa,,2022,7.6846538
Africa (IRENA),,2000,0.13905
Africa (IRENA),,2001,0.13905
Africa (IRENA),,2002,0.14431
Africa (IRENA),,2003,0.15379
Africa (IRENA),,2004,0.23611002
Africa (IRENA),,2005,0.24018
Africa (IRENA),,2006,0.32790503
Africa (IRENA),,2007,0.47010002
Africa (IRENA),,2008,0.5553
Africa (IRENA),,2009,0.74240005
Africa (IRENA),,2010,0.864777
Africa (IRENA),,2011,0.99498206
Africa (IRENA),,2012,1.127594
Africa (IRENA),,2013,1.741834
Africa (IRENA),,2014,2.399398
Africa (IRENA),,2015,3.3202682
Africa (IRENA),,2016,3.8313942
Africa (IRENA),,2017,4.5782633
Africa (IRENA),,2018,5.4715533
Africa (IRENA),,2019,5.5287533
Africa (IRENA),,2020,6.514653
Africa (IRENA),,2021,7.370153
Africa (IRENA),,2022,7.6846533
Algeria,DZA,2014,0.0102
Algeria,DZA,2015,0.0102
Algeria,DZA,2016,0.0102
Algeria,DZA,2017,0.0102
Algeria,DZA,2018,0.010000001
Algeria,DZA,2019,0.010000001
Algeria,DZA,2020,0.010000001
Algeria,DZA,2021,0.010000001
Algeria,DZA,2022,0.010000001
Antigua and Barbuda,ATG,2020,0.004
Antigua and Barbuda,ATG,2021,0.004
Antigua and Barbuda,ATG,2022,0.004
Argentina,ARG,2000,0.014112001
Argentina,ARG,2001,0.024829002
Argentina,ARG,2002,0.025798002
Argentina,ARG,2003,0.025729
Argentina,ARG,2004,0.027829003
Argentina,ARG,2005,0.027829003
Argentina,ARG,2006,0.027829003
Argentina,ARG,2007,0.027829003
Argentina,ARG,2008,0.027829003
Argentina,ARG,2009,0.027829003
Argentina,ARG,2010,0.027829003
Argentina,ARG,2011,0.059579
Argentina,ARG,2012,0.13697901
Argentina,ARG,2013,0.18997902
Argentina,ARG,2014,0.21518701
Argentina,ARG,2015,0.18710402
Argentina,ARG,2016,0.187442
Argentina,ARG,2017,0.22674201
Argentina,ARG,2018,0.750342
Argentina,ARG,2019,1.609359
Argentina,ARG,2020,2.6239042
Argentina,ARG,2021,3.2921243
Argentina,ARG,2022,3.3093152
Armenia,ARM,2005,0.0026400003
Armenia,ARM,2006,0.0026400003
Armenia,ARM,2007,0.0026400003
Armenia,ARM,2008,0.0026400003
